Epoch,Winner,Loser
1,Loki-Warrior,Magnus-Warrior
2,Magnus-Warrior,Gold-Warrior
3,Loki-Warrior,Crime-Stopper-Warrior
4,Loki-Warrior,Gold-Warrior
5,Loki-Warrior,Gold-Warrior
6,Mirage-Warrior,Copper-Warrior
7,Magnus-Warrior,Gold-Warrior
8,Magnus-Warrior,Copper-Warrior
9,Gold-Warrior,Copper-Warrior
10,Loki-Warrior,Crime-Stopper-Warrior
11,Loki-Warrior,Crime-Stopper-Warrior
12,Mirage-Warrior,Gold-Warrior
13,Loki-Warrior,Crime-Stopper-Warrior
14,Gold-Warrior,Copper-Warrior
15,Magnus-Warrior,Copper-Warrior
16,Crime-Stopper-Warrior,Mirage-Warrior
17,Crime-Stopper-Warrior,Magnus-Warrior
18,Mirage-Warrior,Gold-Warrior
19,Loki-Warrior,Gold-Warrior
20,Crime-Stopper-Warrior,Copper-Warrior
21,Magnus-Warrior,Mirage-Warrior
22,Crime-Stopper-Warrior,Gold-Warrior
23,Loki-Warrior,Magnus-Warrior
24,Crime-Stopper-Warrior,Gold-Warrior
25,Loki-Warrior,Gold-Warrior
26,Crime-Stopper-Warrior,Copper-Warrior
27,Gold-Warrior,Copper-Warrior
28,Loki-Warrior,Gold-Warrior
29,Mirage-Warrior,Gold-Warrior
30,Gold-Warrior,Copper-Warrior
31,Magnus-Warrior,Gold-Warrior
32,Mirage-Warrior,Gold-Warrior
33,Mirage-Warrior,Copper-Warrior
34,Loki-Warrior,Mirage-Warrior
35,Crime-Stopper-Warrior,Magnus-Warrior
36,Mirage-Warrior,Gold-Warrior
37,Magnus-Warrior,Copper-Warrior
38,Crime-Stopper-Warrior,Copper-Warrior
39,Crime-Stopper-Warrior,Copper-Warrior
40,Loki-Warrior,Copper-Warrior
41,Mirage-Warrior,Gold-Warrior
42,Loki-Warrior,Gold-Warrior
43,Crime-Stopper-Warrior,Magnus-Warrior
44,Loki-Warrior,Gold-Warrior
45,Magnus-Warrior,Copper-Warrior
46,Crime-Stopper-Warrior,Copper-Warrior
47,Crime-Stopper-Warrior,Copper-Warrior
48,Loki-Warrior,Gold-Warrior
49,Loki-Warrior,Mirage-Warrior
50,Crime-Stopper-Warrior,Copper-Warrior
